time,adservice_cpu,cartservice_cpu,checkoutservice_cpu,currencyservice_cpu,emailservice_cpu,frontend_cpu,main_cpu,paymentservice_cpu,productcatalogservice_cpu,recommendationservice_cpu,redis_cpu,shippingservice_cpu,adservice_mem,cartservice_mem,checkoutservice_mem,currencyservice_mem,emailservice_mem,frontend_mem,main_mem,paymentservice_mem,productcatalogservice_mem,recommendationservice_mem,redis_mem,shippingservice_mem,adservice_workload,cartservice_workload,checkoutservice_workload,currencyservice_workload,emailservice_workload,frontend_workload,frontend-external_workload,paymentservice_workload,productcatalogservice_workload,recommendationservice_workload,shippingservice_workload,frontend_error,frontend-external_error,adservice_latency-50,cartservice_latency-50,checkoutservice_latency-50,currencyservice_latency-50,emailservice_latency-50,frontend_latency-50,paymentservice_latency-50,productcatalogservice_latency-50,recommendationservice_latency-50,shippingservice_latency-50,adservice_latency-90,cartservice_latency-90,checkoutservice_latency-90,currencyservice_latency-90,emailservice_latency-90,frontend_latency-90,paymentservice_latency-90,productcatalogservice_latency-90,recommendationservice_latency-90,shippingservice_latency-90
1692568979,0.9486446935658863,5.446051481887857,1.013186875148734,8.401781749242316,0.7245335307527477,15.563823924794434,7.865554269573338,0.3174904692375436,6.008794775555846,4.308482813197773,0.4486781115612399,1.0356158343646,94826496,41078784,11554816,41492480,42315776,16875520,95326208,35500032,9842688,47980544,3043328,9064448,42,76,2,266,4,38,36,2,460,56,26,0,0,0.0012452830188679244,0.0032665461121157324,0.03464285714285714,0.0014424242424242429,0.003,0.027040378006872853,0.0017482014388489212,0.0003761486343425789,0.003520385050962627,0.0011849593495934963,0.00430104821802935,0.006527700831024941,0.04761428571428571,0.004510263929618769,0.0046,0.09945226130653272,0.004372661870503597,0.003914156285390716,0.008304741980474201,0.00424349593495935
1692568980,0.9486446935658863,5.446051481887857,0.9447334448013852,7.190851616350131,0.6991497042302891,15.563823924794434,7.865554269573338,0.3174904692375436,6.870768002329111,4.308482813197773,0.4486781115612399,1.0356158343646,94826496,41078784,11264000,41492480,42315776,16875520,95326208,35500032,9842688,47980544,3043328,9064448,74,148,2,372,4,60,82,4,856,98,50,0,0,0.0012452830188679244,0.003265656018769175,0.03463687150837989,0.001445766679672259,0.003,0.027040378006872853,0.0017916666666666667,0.00037849883548591993,0.0034986580783682233,0.0012032193158953723,0.00430104821802935,0.00650416666666665,0.047597765363128486,0.004510456496293406,0.0046,0.09945226130653272,0.004380555555555555,0.003927418803418801,0.00819214876033058,0.004247082494969819
1692568981,0.9486446935658863,5.446051481887857,0.9447334448013852,7.050821920529426,0.6991497042302891,15.563823924794434,7.865554269573338,0.3174904692375436,6.735170106085185,4.308482813197773,0.4486781115612399,1.0356158343646003,94826496,41078784,11264000,41492480,42315776,16875520,95326208,35500032,9842688,47980544,3043328,9064448,36,50,4,140,8,26,24,4,366,40,16,0,0,0.0012452830188679244,0.003265656018769175,0.03463687150837989,0.001445766679672259,0.003,0.027602923627684968,0.0017916666666666667,0.00037849883548591993,0.0034986580783682233,0.0012032193158953723,0.00430104821802935,0.00650416666666665,0.047597765363128486,0.004510456496293406,0.0046,0.10574367088607622,0.004380555555555555,0.003927418803418801,0.00819214876033058,0.004247082494969819
1692568982,0.9486446935658863,5.446051481887857,0.9447334448013852,8.042357858644294,0.6991497042302891,15.563823924794434,7.865554269573338,0.3174904692375436,6.599572209841259,4.308482813197773,0.4486781115612399,0.8690758630008429,94826496,41078784,11264000,40837120,42315776,16875520,95326208,35500032,9842688,47980544,3043328,9064448,66,76,0,278,0,48,44,0,522,64,14,0,0,0.0012452830188679244,0.003265656018769175,0.03463687150837989,0.001445766679672259,0.003,0.026987327188940095,0.0018652482269503547,0.00037849883548591993,0.0034986580783682233,0.0012032193158953723,0.00430104821802935,0.00650416666666665,0.047597765363128486,0.004510456496293406,0.0046,0.09947368421052633,0.004395744680851063,0.003927418803418801,0.00819214876033058,0.004247082494969819
1692568983,0.9486446935658863,5.446051481887857,0.9447334448013852,8.042357858644294,0.6991497042302891,15.461252091412984,7.865554269573338,0.32145129913013304,6.463974313597333,4.308482813197773,0.4486781115612399,0.8518155990947663,94826496,41078784,11264000,40837120,42315776,15937536,95326208,35573760,9842688,47980544,3043328,9064448,86,138,0,442,0,74,72,0,678,110,26,0,0,0.0012599318955732123,0.0032735493594574223,0.03463235294117647,0.0015220488111448629,0.003,0.027437012597480503,0.001788732394366197,0.00037731755424063115,0.003503791069924179,0.0011284796573875799,0.004306469920544837,0.006746438746438741,0.04763235294117648,0.004536356970776161,0.0046,0.10420967741935452,0.004380281690140846,0.0039232502011263045,0.008250720461095103,0.00423254817987152
1692568984,0.9486446935658863,5.446051481887857,0.9447334448013852,8.042357858644294,0.6991497042302891,15.461252091412984,8.0536255327545,0.32145129913013304,6.3283764173534065,4.308482813197773,0.3660519472107002,0.8345553351886895,94826496,41078784,11264000,40837120,42315776,15937536,95326208,35573760,9842688,47980544,3043328,9064448,80,126,8,378,8,64,66,8,766,90,42,0,0,0.0012409258285113098,0.0032677079549582274,0.03455459770114942,0.0014575739760924944,0.003,0.026815804764671703,0.001788732394366197,0.0003755483623663699,0.0035256849315068494,0.001210953346855984,0.004300368227248817,0.006560941828254856,0.04760057471264368,0.004512561238487163,0.0046,0.09927363184079604,0.004380281690140846,0.00391088411412469,0.00835553997194951,0.0042486815415821505
1692568985,0.9532554988987446,5.446051481887857,0.9447334448013852,8.042357858644294,0.6991497042302891,15.461252091412984,8.0536255327545,0.32145129913013304,7.887714331331865,4.308482813197773,0.3736107872629583,0.9736948062405947,94826496,41078784,11264000,40837120,42315776,15937536,95326208,35573760,9637888,47980544,3043328,9068544,44,130,0,460,0,76,54,0,318,82,18,0,0,0.0012409258285113098,0.003268683922712359,0.03465568862275449,0.0014510479189215777,0.003,0.026815804764671703,0.0016969696969696968,0.00037722006899782785,0.0035052917232021707,0.0011739130434782602,0.004300368227248817,0.0065886426592797875,0.04764970059880239,0.004512191282101741,0.0046,0.09927363184079604,0.004363636363636363,0.003921042571676803,0.008259722222222222,0.004241407867494823
1692568986,0.9532554988987446,5.446051481887857,0.9447334448013852,8.310635589270724,0.6685502470091367,15.461252091412984,8.0536255327545,0.32145129913013304,7.887714331331865,4.3431370982829085,0.3811696273152163,0.9736948062405947,94826496,41078784,11264000,40837120,42315776,15937536,95326208,35573760,9637888,47980544,3043328,9068544,16,6,2,96,2,4,6,2,152,2,4,0,0,0.0012409258285113098,0.003268683922712359,0.03465568862275449,0.0014510479189215777,0.003,0.02668357933579336,0.0016969696969696968,0.00037722006899782785,0.0035052917232021707,0.0011739130434782602,0.004300368227248817,0.0065886426592797875,0.04764970059880239,0.004512191282101741,0.0046,0.09998405951115842,0.004363636363636363,0.003921042571676803,0.008259722222222222,0.004241407867494823
1692568987,0.9550225460636573,5.446051481887857,0.9447334448013852,8.310635589270724,0.6685502470091367,15.461252091412984,8.0536255327545,0.32145129913013304,7.887714331331865,4.3431370982829085,0.3887284673674743,0.9736948062405947,94826496,41078784,11264000,40837120,42315776,15937536,95326208,35573760,9637888,47980544,3043328,9068544,88,82,4,250,4,42,46,4,718,58,28,0,0,0.0012409258285113098,0.003268683922712359,0.03465568862275449,0.0014510479189215777,0.003,0.026772943980929678,0.0019384615384615384,0.00037722006899782785,0.0035052917232021707,0.0011739130434782602,0.004300368227248817,0.0065886426592797875,0.04764970059880239,0.004512191282101741,0.0046,0.10809523809523865,0.004412307692307692,0.003921042571676803,0.008259722222222222,0.004241407867494823
1692568988,0.9550225460636573,5.446051481887857,0.9447334448013852,8.310635589270724,0.6685502470091367,15.461252091412984,8.0536255327545,0.32145129913013304,7.887714331331865,4.228570723727071,0.3812452157157388,0.9736948062405947,94826496,41078784,11264000,40837120,42315776,15937536,95326208,35573760,9637888,47980544,3043328,9068544,12,4,0,126,0,28,6,0,168,6,0,0,0,0.001258809936452917,0.003277246653919694,0.03487261146496815,0.001526751592356688,0.003,0.02716030056355667,0.0019253731343283585,0.0003757350665428659,0.0035028473804100233,0.0011604395604395607,0.0043090699017908725,0.006839488636363642,0.04761146496815287,0.004544161358811042,0.0046,0.11934853420195468,0.004408955223880597,0.003916464027790474,0.008294947994056468,0.004239120879120879
